Date	Cost
2014-08-30	12409931
2014-08-31	12414059
2014-09-01	12375000
2014-09-02	12384463
2014-09-03	12367127
2014-09-04	12290000
2014-09-05	12370000
2014-09-06	12363500
2014-09-07	12259999
2014-09-08	12225000
2014-09-09	12150000
2014-09-10	12150000
2014-09-11	12236670
2014-09-12	12315000
2014-09-13	12350000
2014-09-14	12382445
2014-09-15	12395369
2014-09-16	12350000
2014-09-17	12350000
2014-09-18	12344245
2014-09-19	12461869
2014-09-21	13500000
2014-09-22	12426452
2014-09-23	12707736
2014-09-24	12385754
2014-09-25	12294277
2014-09-26	12299999
2014-09-27	12272422
2014-09-28	12200000
2014-09-29	12323000
2014-09-30	12340000
2014-10-01	12356072
2014-10-02	12355000
2014-10-03	12340000
2014-10-04	12400000
2014-10-05	12334000
2014-10-06	12300000
2014-10-07	12300000
2014-10-08	12275000
2014-10-09	12300000
2014-10-10	12275707
2014-10-11	12248813
2014-10-12	12265000
2014-10-13	12225000
2014-10-14	12309874
2014-10-15	12299999
2014-10-16	12200000
2014-10-17	12228260
2014-10-18	12200000
2014-10-19	12325000
2014-10-20	12235000
2014-10-21	12299994
2014-10-22	12175000
2014-10-23	12200000
2014-10-24	12293156
2014-10-25	12150000
2014-10-26	12266541
2014-10-27	12275000
2014-10-28	12300000
2014-10-29	12299999
2014-10-30	12314011
2014-10-31	12315000
2014-11-01	12315000
2014-11-02	12395000
2014-11-03	12320000
2014-11-04	12260000
2014-11-05	12260000
2014-11-06	12300000
2014-11-07	12245000
2014-11-08	12248999
2014-11-09	12245000
2014-11-10	12253302
2014-11-11	12216398
2014-11-12	12281203
2014-11-14	12305643
2014-11-15	12225000
2014-11-16	12252548
2014-11-17	12265000
2014-11-18	12374473
2014-11-19	12307801
2014-11-20	12377888
2014-11-21	12394549
2014-11-22	12365448
2014-11-23	12325000
2014-11-24	12350000
2014-11-25	12350000
2014-11-26	12375000
2014-11-27	12360000
2014-11-28	12342583
2014-11-29	12350000
2014-11-30	12280000
2014-12-01	12444000
2014-12-02	12740000
2014-12-03	12770000
2014-12-04	12795000
2014-12-05	12695000
2014-12-06	12623789
2014-12-07	12810000
2014-12-08	12498562
2014-12-09	12380000
2014-12-10	12500000
2014-12-11	12374000
2014-12-12	12385000
2014-12-13	12200000
2014-12-14	12200000
2014-12-15	12249999
2014-12-16	12250000
2014-12-17	12266202
2014-12-18	12250000
2014-12-19	12210315
2014-12-20	12190000
2014-12-21	12224999
2014-12-22	12280104
2014-12-23	12250000
2014-12-24	12350000
2014-12-25	12320000
2014-12-26	12323330
2014-12-27	12267389
2014-12-28	12271659
2014-12-29	12377210
2014-12-30	12300000
2014-12-31	12320792
2015-01-01	12453000
2015-01-02	12460000
2015-01-03	12428363
2015-01-04	12503027
2015-01-05	12598000
2015-01-06	12545000
2015-01-07	12613512
2015-01-08	12539690
2015-01-09	12595000
2015-01-10	12620000
2015-01-11	12690000
2015-01-12	12663598
2015-01-13	12725000
2015-01-14	12900000
2015-01-15	12800000
2015-01-16	13050069
2015-01-17	13110000
2015-01-18	12650000
2015-01-19	12925000
2015-01-20	13200000
2015-01-21	13222875
2015-10-06	23000000
2015-10-07	23150123
2015-10-08	23110714
2015-10-09	23119325
2015-10-10	22813500
2015-10-11	22562305
2015-10-12	22656560
2015-10-13	22400000
2015-10-14	22600000
2015-10-15	22500000
2015-10-16	22538447
2015-10-17	22529490
2015-10-18	22627471
2015-10-19	22599795
2015-10-20	22450000
2015-10-21	22577276
2015-10-22	22525000
2015-10-23	22516723
2015-10-24	22572435
2015-10-25	22951346
2015-10-26	23600000
2015-10-27	23255758
2015-10-28	23217000
2015-10-29	23019675
2015-10-30	23148390
2015-10-31	23122858
2015-11-01	23285862
2015-11-02	23581559
2015-11-03	23418014
2015-11-04	23671535
2015-11-05	23635905
2015-11-06	23549701
2015-11-07	23298633
2015-11-08	23102934
2015-11-09	23233451
2015-11-10	23117394
2015-11-11	22802074
2015-11-12	22953565
2015-11-13	23071956
2015-11-14	23025307
2015-11-15	23299000
2015-11-16	23337543
2015-11-17	23284778
2015-11-18	23239000
2015-11-19	23169084
2015-11-20	23106957
2015-11-21	23167312
2015-11-22	23216564
2015-11-23	23215847
2015-11-24	23224843
2015-11-25	23205636
2015-11-26	23224739
2015-11-27	23356483
2015-11-28	23247230
2015-11-29	23267581
2015-11-30	23345753
2015-12-01	23499413
2015-12-02	24900000
2015-12-03	23968751
2015-12-04	23515000
2015-12-05	23647415
2015-12-06	23588192
2015-12-07	23480000
2015-12-08	23408229
2015-12-09	23247402
2015-12-10	23500000
2015-12-11	23407088
2015-12-12	23150000
2015-12-13	23200000
2015-12-14	23275000
2015-12-15	23241306
2015-12-16	22840000
2015-12-17	22950000
2015-12-18	23026980
2015-12-19	22850000
2015-12-20	22672339
2015-12-21	22848572
2015-12-22	23400000
2015-12-23	23551000
2015-12-24	22600022
2015-12-26	23125000
2015-12-27	23124999
2015-12-28	23172483
2015-12-29	23456602
2015-12-31	23626264
2016-01-01	24750000
2016-01-02	23819234
2016-01-03	23771711
2016-01-04	23650000
2016-01-05	23262182
2016-01-06	23502297
2016-01-07	23499999
2016-01-08	23429305
2016-01-09	23435000
2016-01-10	23490173
2016-01-11	23698838
2016-01-12	23727287
2016-01-13	23689644
2016-01-14	23800216
2016-01-15	23650000
2016-01-16	23760839
2016-01-17	23889296
2016-01-18	24500000
2016-01-19	24895000
2016-01-20	24900000
2016-01-21	29000000
2016-01-22	27750000
2016-01-23	27850000
2016-01-24	28450000
2016-01-25	28000000
2016-01-26	28000000
2016-01-27	27900000
2016-01-28	27795000
2016-01-29	28100000
2016-01-30	27999000
2016-01-31	28260000
2016-02-01	28479589
2016-02-02	28975000
2016-02-03	29700000
2016-02-04	29300000
2016-02-05	29435000
2016-02-06	28530000
2016-02-07	29500000
2016-02-08	28800000
2016-02-09	28950000
2016-02-10	28837781
2016-02-11	29000000
2016-02-12	28900000
2016-02-13	28614783
2016-02-14	28607400
2016-02-15	28711669
2016-02-16	28644000
2016-02-17	28641889
2016-02-18	28643564
2016-02-19	28661625
2016-02-20	28516894
2016-02-21	28500000
2016-02-22	28400000
2016-02-24	28049000
2016-02-25	28121405
2016-02-26	28106803
2016-02-27	28290529
2016-02-28	28111650
2016-02-29	28499999
2016-03-01	28755168
2016-03-02	29207560
2016-03-03	29524995
2016-03-04	29495268
2016-03-05	29437119
2016-03-06	29452729
2016-03-07	29329898
2016-03-08	29200000
2016-03-09	29300000
2016-03-11	29039292
2016-03-12	28897392
2016-03-13	29177592
2016-03-14	29187309
2016-03-15	29150000
2016-03-16	29193099
2016-03-17	29319575
2016-03-18	29003558
2016-03-19	29241151
2016-03-20	29145587
2016-03-21	29088854
2016-03-22	29451215
2016-03-23	29300000
2016-03-24	29313730
2016-03-25	29155064
2016-03-26	28700000
2016-03-27	29236420
2016-03-28	29100000
2016-03-29	29260510
2016-03-30	29199156
2016-03-31	29336458
2016-04-01	29379842
2016-04-02	30100000
2016-04-03	29990000
2016-04-04	29750000
2016-04-05	29730550
2016-04-06	30250000
2016-04-07	30000000
2016-04-08	29918604
2016-04-09	29690000
2016-04-10	29673370
2016-04-11	29795399
2016-04-12	29726119
2016-05-11	29726119
2016-06-20	29215088
2016-06-21	29160074
2016-06-22	29130304
2016-06-23	29207605
2016-06-24	29059992
2016-06-25	29058545
2016-06-27	29227168
2016-06-29	29403847
2016-06-30	29594000
2016-07-01	29816920
2016-07-02	29715000
2016-07-03	29450000
2016-07-04	29045683
2016-07-05	28977775
2016-07-06	28999000
2016-07-07	28978339
2016-07-08	28846435
2016-07-09	29100000
2016-07-11	28966524
2016-07-12	29007860
2016-07-13	28977696
2016-07-14	28904958
2016-07-15	28880000
2016-07-16	28944084
