Month,Day,Time,Quantity,Cost
Sep,5,12.4333333333,64,22580000.0
Sep,6,12.4333333333,63,22511000.0
Sep,7,12.4333333333,46,22291200.0
Sep,8,12.4333333333,59,22150000.0
Sep,9,12.4333333333,83,22115200.0
Sep,10,12.4333333333,60,22202400.0
Sep,11,12.4333333333,54,22380000.0
Sep,12,12.4333333333,62,22347600.0
Sep,13,12.4333333333,50,22281700.0
Sep,14,12.4333333333,82,22298600.0
Sep,15,12.4333333333,72,22400000.0
Sep,16,12.4333333333,62,22350300.0
Sep,17,12.4333333333,65,22508700.0
Sep,18,12.4333333333,58,22551700.0
Sep,19,12.4333333333,74,22394000.0
Sep,20,12.4333333333,33,22450000.0
Sep,21,12.4333333333,61,22486800.0
Sep,22,12.4333333333,101,22353800.0
Sep,23,12.4333333333,72,22500000.0
Sep,24,12.4333333333,128,22500000.0
Sep,25,12.4333333333,63,22687800.0
Sep,26,12.4333333333,80,22450000.0
Sep,27,12.4333333333,144,22380000.0
Sep,28,12.4333333333,88,22516100.0
Sep,29,12.4333333333,103,22374200.0
Sep,30,12.4333333333,107,22500000.0
Oct,1,12.4333333333,118,22570000.0
Oct,2,12.4333333333,92,22571800.0
Oct,3,12.4333333333,79,22589200.0
Oct,4,12.4333333333,56,22652400.0
Oct,5,12.4333333333,130,22987500.0
Oct,6,12.4333333333,133,22959500.0
Oct,7,12.4333333333,37,23100000.0
Oct,8,12.4333333333,71,23100000.0
Oct,9,12.4333333333,70,22875000.0
Oct,10,12.4333333333,150,22300000.0
Oct,11,12.4333333333,88,22679700.0
Oct,12,12.4333333333,66,22671000.0
Oct,13,12.4333333333,62,22616000.0
Oct,14,12.4333333333,62,22550000.0
Oct,15,12.4333333333,43,22550000.0
Oct,16,12.4333333333,67,22438000.0
Oct,17,12.4333333333,53,22550000.0
Oct,18,12.4333333333,70,22562800.0
Oct,19,12.4333333333,48,22458600.0
Oct,20,12.4333333333,69,22451100.0
Oct,21,12.4333333333,70,22500000.0
Oct,22,12.4333333333,45,22493400.0
Oct,23,12.4333333333,46,22500000.0
Oct,24,12.4333333333,90,22681500.0
Oct,25,12.4333333333,81,23069100.0
Oct,26,12.4333333333,26,23399500.0
Oct,27,12.4333333333,51,23102500.0
Oct,28,12.4333333333,60,23140000.0
Oct,29,12.4333333333,87,23000000.0
Oct,30,12.4333333333,75,23063400.0
Oct,31,12.4333333333,104,23240000.0
Nov,1,12.4333333333,103,23333300.0
Nov,2,12.4333333333,164,23499600.0
Nov,3,12.4333333333,130,23680000.0
Nov,4,12.4333333333,88,23712700.0
Nov,5,12.4333333333,141,23505300.0
Nov,6,12.4333333333,327,23107200.0
Nov,7,12.4333333333,142,23167200.0
Nov,8,12.4333333333,77,23200000.0
Nov,9,12.4333333333,46,23100000.0
Nov,10,12.4333333333,97,22853600.0
Nov,11,12.4333333333,75,22844500.0
Nov,12,12.4333333333,66,23114600.0
Nov,13,12.4333333333,52,22988800.0
Nov,14,12.4333333333,151,23338500.0
Nov,15,12.4333333333,114,23300000.0
Nov,16,12.4333333333,53,23300000.0
Nov,17,12.4333333333,63,23248500.0
Nov,18,12.4333333333,73,23104600.0
Nov,19,12.4333333333,75,23118900.0
Nov,20,12.4333333333,84,23090700.0
Nov,21,12.4333333333,81,23171600.0
Nov,22,12.4333333333,106,23051900.0
Nov,23,12.4333333333,131,23073800.0
Nov,24,12.4333333333,55,23250800.0
Nov,25,12.4333333333,128,23231600.0
Nov,26,12.4333333333,79,23105600.0
Nov,27,12.4333333333,84,23222200.0
Nov,28,12.4333333333,102,23159800.0
Nov,29,12.4333333333,73,23309100.0
Nov,30,12.4333333333,102,23330100.0
Dec,1,12.4333333333,135,24020700.0
Dec,2,12.4333333333,119,24000000.0
Dec,3,12.4333333333,88,23481600.0
Dec,4,12.4333333333,148,23382000.0
Dec,5,12.4333333333,125,23600000.0
Dec,6,12.4333333333,83,23588300.0
Dec,7,12.4333333333,137,23355000.0
Dec,8,12.4333333333,95,23200000.0
Dec,9,12.4333333333,95,23080900.0
Dec,10,12.4333333333,69,23319000.0
Dec,11,12.4333333333,95,23044000.0
Dec,12,12.4333333333,96,23006600.0
Dec,13,12.4333333333,103,23128700.0
Dec,14,12.4333333333,96,23206000.0
Dec,15,12.4333333333,98,23000000.0
Dec,16,12.4333333333,45,22873900.0
Dec,17,12.4333333333,59,22996300.0
Dec,18,12.4333333333,83,22876600.0
Dec,19,12.4333333333,57,22700000.0
Dec,20,12.4333333333,109,22500200.0
Dec,21,12.4333333333,222,22835300.0
Dec,22,12.4333333333,73,23455600.0
Dec,23,12.4333333333,141,22805000.0
Dec,24,12.4333333333,174,22422200.0
Dec,25,12.4333333333,101,23000000.0
Dec,26,12.4333333333,74,23083400.0
Dec,27,12.4333333333,74,23123200.0
Dec,28,12.4333333333,130,23294500.0
Dec,29,12.4333333333,89,23619800.0
Dec,30,12.4333333333,90,24857300.0
Dec,31,12.4333333333,120,23900000.0
